Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,112.700000,-109.900000,225.000000,bottom
C2,0.1u,C_0603_1608Metric,128.700000,-103.200000,45.000000,bottom
C3,0.1u,C_0603_1608Metric,132.500000,-115.600000,225.000000,bottom
C4,0.1u,C_0603_1608Metric,127.500000,-121.500000,315.000000,bottom
C5,1u,C_0603_1608Metric,116.400000,-117.500000,180.000000,bottom
C6,1u,C_0603_1608Metric,115.200000,-120.500000,225.000000,bottom
C7,22p,C_0603_1608Metric,113.000000,-106.500000,225.000000,bottom
C8,22p,C_0603_1608Metric,118.943153,-101.943153,135.000000,bottom
C9,0.1u,C_0603_1608Metric,129.000000,-120.000000,315.000000,bottom
C10,0.1u,C_0603_1608Metric,8.700000,-15.400000,0.000000,bottom
C11,0.1u,C_0603_1608Metric,17.600000,-11.400000,0.000000,bottom
C12,0.1u,C_0603_1608Metric,351.000000,-66.200000,90.000000,bottom
C13,0.1u,C_0603_1608Metric,345.500000,-57.600000,270.000000,bottom
D1,D,D_SOD-123,2.525000,-16.525000,90.000000,bottom
D2,D,D_SOD-123,27.925000,-16.525000,90.000000,bottom
D3,D,D_SOD-123,53.325000,-16.525000,90.000000,bottom
D4,D,D_SOD-123,72.375000,-16.525000,90.000000,bottom
D5,D,D_SOD-123,91.425000,-16.525000,90.000000,bottom
D6,D,D_SOD-123,110.475000,-16.525000,90.000000,bottom
D7,D,D_SOD-123,139.050000,-16.525000,90.000000,bottom
D8,D,D_SOD-123,158.100000,-16.525000,90.000000,bottom
D9,D,D_SOD-123,177.150000,-16.525000,90.000000,bottom
D10,D,D_SOD-123,196.200000,-16.525000,90.000000,bottom
D11,D,D_SOD-123,224.775000,-16.525000,90.000000,bottom
D12,D,D_SOD-123,243.825000,-16.525000,90.000000,bottom
D13,D,D_SOD-123,262.875000,-16.525000,90.000000,bottom
D14,D,D_SOD-123,281.925000,-16.525000,90.000000,bottom
D15,D,D_SOD-123,307.325000,-16.525000,90.000000,bottom
D16,D,D_SOD-123,326.375000,-16.525000,90.000000,bottom
D17,D,D_SOD-123,345.425000,-16.525000,90.000000,bottom
D18,D,D_SOD-123,17.525000,-40.425000,90.000000,bottom
D19,D,D_SOD-123,27.925000,-41.925000,90.000000,bottom
D20,D,D_SOD-123,46.975000,-41.925000,90.000000,bottom
D21,D,D_SOD-123,66.025000,-41.925000,90.000000,bottom
D22,D,D_SOD-123,85.075000,-41.925000,90.000000,bottom
D23,D,D_SOD-123,104.125000,-41.925000,90.000000,bottom
D24,D,D_SOD-123,123.175000,-41.925000,90.000000,bottom
D25,D,D_SOD-123,142.225000,-41.925000,90.000000,bottom
D26,D,D_SOD-123,161.275000,-41.925000,90.000000,bottom
D27,D,D_SOD-123,180.325000,-41.925000,90.000000,bottom
D28,D,D_SOD-123,199.375000,-41.925000,90.000000,bottom
D29,D,D_SOD-123,218.425000,-41.925000,90.000000,bottom
D30,D,D_SOD-123,237.475000,-41.925000,90.000000,bottom
D31,D,D_SOD-123,256.525000,-41.925000,90.000000,bottom
D32,D,D_SOD-123,285.100000,-41.925000,90.000000,bottom
D33,D,D_SOD-123,326.375000,-41.000000,90.000000,bottom
D34,D,D_SOD-123,345.425000,-41.000000,90.000000,bottom
D35,D,D_SOD-123,17.525000,-59.475000,90.000000,bottom
D36,D,D_SOD-123,32.687500,-60.975000,90.000000,bottom
D37,D,D_SOD-123,56.500000,-60.975000,90.000000,bottom
D38,D,D_SOD-123,75.550000,-60.975000,90.000000,bottom
D39,D,D_SOD-123,94.600000,-60.975000,90.000000,bottom
D40,D,D_SOD-123,113.650000,-60.975000,90.000000,bottom
D41,D,D_SOD-123,132.700000,-60.975000,90.000000,bottom
D42,D,D_SOD-123,151.750000,-60.975000,90.000000,bottom
D43,D,D_SOD-123,170.800000,-60.975000,90.000000,bottom
D44,D,D_SOD-123,189.850000,-60.975000,90.000000,bottom
